大城,彰化縣,16,"2024-04-09 09:00",μg/m3
富貴角,新北市,13,"2024-04-09 09:00",μg/m3
麥寮,雲林縣,11,"2024-04-09 09:00",μg/m3
關山,臺東縣,5,"2024-04-09 09:00",μg/m3
馬公,澎湖縣,8,"2024-04-09 09:00",μg/m3
金門,金門縣,15,"2024-04-09 09:00",μg/m3
馬祖,連江縣,19,"2024-04-09 09:00",μg/m3
埔里,南投縣,23,"2024-04-09 09:00",μg/m3
復興,高雄市,38,"2024-04-09 09:00",μg/m3
永和,新北市,9,"2024-04-09 09:00",μg/m3
竹山,南投縣,15,"2024-04-09 09:00",μg/m3
中壢,桃園市,14,"2024-04-09 09:00",μg/m3
三重,新北市,13,"2024-04-09 09:00",μg/m3
冬山,宜蘭縣,7,"2024-04-09 09:00",μg/m3
宜蘭,宜蘭縣,8,"2024-04-09 09:00",μg/m3
陽明,臺北市,6,"2024-04-09 09:00",μg/m3
花蓮,花蓮縣,11,"2024-04-09 09:00",μg/m3
臺東,臺東縣,4,"2024-04-09 09:00",μg/m3
恆春,屏東縣,6,"2024-04-09 09:00",μg/m3
潮州,屏東縣,36,"2024-04-09 09:00",μg/m3
屏東,屏東縣,37,"2024-04-09 09:00",μg/m3
小港,高雄市,28,"2024-04-09 09:00",μg/m3
前鎮,高雄市,34,"2024-04-09 09:00",μg/m3
前金,高雄市,31,"2024-04-09 09:00",μg/m3
左營,高雄市,38,"2024-04-09 09:00",μg/m3
楠梓,高雄市,32,"2024-04-09 09:00",μg/m3
林園,高雄市,35,"2024-04-09 09:00",μg/m3
大寮,高雄市,43,"2024-04-09 09:00",μg/m3
鳳山,高雄市,34,"2024-04-09 09:00",μg/m3
仁武,高雄市,34,"2024-04-09 09:00",μg/m3
橋頭,高雄市,41,"2024-04-09 09:00",μg/m3
美濃,高雄市,23,"2024-04-09 09:00",μg/m3
臺南,臺南市,18,"2024-04-09 09:00",μg/m3
安南,臺南市,25,"2024-04-09 09:00",μg/m3
善化,臺南市,15,"2024-04-09 09:00",μg/m3
新營,臺南市,9,"2024-04-09 09:00",μg/m3
嘉義,嘉義市,18,"2024-04-09 09:00",μg/m3
臺西,雲林縣,6,"2024-04-09 09:00",μg/m3
朴子,嘉義縣,8,"2024-04-09 09:00",μg/m3
新港,嘉義縣,14,"2024-04-09 09:00",μg/m3
崙背,雲林縣,10,"2024-04-09 09:00",μg/m3
斗六,雲林縣,12,"2024-04-09 09:00",μg/m3
南投,南投縣,10,"2024-04-09 09:00",μg/m3
二林,彰化縣,13,"2024-04-09 09:00",μg/m3
線西,彰化縣,6,"2024-04-09 09:00",μg/m3
彰化,彰化縣,6,"2024-04-09 09:00",μg/m3
西屯,臺中市,10,"2024-04-09 09:00",μg/m3
忠明,臺中市,0,"2024-04-09 09:00",μg/m3
大里,臺中市,5,"2024-04-09 09:00",μg/m3
沙鹿,臺中市,7,"2024-04-09 09:00",μg/m3
豐原,臺中市,4,"2024-04-09 09:00",μg/m3
三義,苗栗縣,3,"2024-04-09 09:00",μg/m3
苗栗,苗栗縣,7,"2024-04-09 09:00",μg/m3
頭份,苗栗縣,11,"2024-04-09 09:00",μg/m3
新竹,新竹市,8,"2024-04-09 09:00",μg/m3
竹東,新竹縣,6,"2024-04-09 09:00",μg/m3
湖口,新竹縣,13,"2024-04-09 09:00",μg/m3
龍潭,桃園市,8,"2024-04-09 09:00",μg/m3
平鎮,桃園市,13,"2024-04-09 09:00",μg/m3
觀音,桃園市,13,"2024-04-09 09:00",μg/m3
大園,桃園市,14,"2024-04-09 09:00",μg/m3
桃園,桃園市,14,"2024-04-09 09:00",μg/m3
大同,臺北市,26,"2024-04-09 09:00",μg/m3
松山,臺北市,17,"2024-04-09 09:00",μg/m3
古亭,臺北市,12,"2024-04-09 09:00",μg/m3
萬華,臺北市,11,"2024-04-09 09:00",μg/m3
中山,臺北市,12,"2024-04-09 09:00",μg/m3
士林,臺北市,9,"2024-04-09 09:00",μg/m3
淡水,新北市,7,"2024-04-09 09:00",μg/m3
林口,新北市,10,"2024-04-09 09:00",μg/m3
菜寮,新北市,12,"2024-04-09 09:00",μg/m3
新莊,新北市,11,"2024-04-09 09:00",μg/m3
板橋,新北市,9,"2024-04-09 09:00",μg/m3
土城,新北市,14,"2024-04-09 09:00",μg/m3
新店,新北市,12,"2024-04-09 09:00",μg/m3
萬里,新北市,10,"2024-04-09 09:00",μg/m3
汐止,新北市,11,"2024-04-09 09:00",μg/m3
基隆,基隆市,8,"2024-04-09 09:00",μg/m3